일자,지역,성별,연령,분야,건수
2025-08,부산광역시,남성,10,경찰_검찰_법원,6
2025-08,부산광역시,남성,10,관광,1
2025-08,부산광역시,남성,10,교육,13
2025-08,부산광역시,남성,10,교통,15
2025-08,부산광역시,남성,10,국방,4
2025-08,부산광역시,남성,10,기타,2
2025-08,부산광역시,남성,10,노동,1
2025-08,부산광역시,남성,10,도로,3
2025-08,부산광역시,남성,10,도시,1
2025-08,부산광역시,남성,10,문화,2
2025-08,부산광역시,남성,10,방송통신,4
2025-08,부산광역시,남성,10,보건,1
2025-08,부산광역시,남성,10,복지,1
2025-08,부산광역시,남성,10,산업_통상,2
2025-08,부산광역시,남성,10,세무,1
2025-08,부산광역시,남성,10,행정_안전,5
2025-08,부산광역시,남성,10,환경,4
2025-08,부산광역시,남성,20,경찰_검찰_법원,125
2025-08,부산광역시,남성,20,과학기술,18
2025-08,부산광역시,남성,20,관광,3
2025-08,부산광역시,남성,20,교육,31
2025-08,부산광역시,남성,20,교통,87
2025-08,부산광역시,남성,20,국방,42
2025-08,부산광역시,남성,20,기타,88
2025-08,부산광역시,남성,20,노동,40
2025-08,부산광역시,남성,20,농림_축산,2
2025-08,부산광역시,남성,20,도로,19
2025-08,부산광역시,남성,20,도시,8
2025-08,부산광역시,남성,20,문화,14
2025-08,부산광역시,남성,20,방송통신,12
2025-08,부산광역시,남성,20,보건,80
2025-08,부산광역시,남성,20,복지,6
2025-08,부산광역시,남성,20,산업_통상,28
2025-08,부산광역시,남성,20,세무,5
2025-08,부산광역시,남성,20,수자원,5
2025-08,부산광역시,남성,20,외무통일,3
2025-08,부산광역시,남성,20,우정,3
2025-08,부산광역시,남성,20,재정,71
2025-08,부산광역시,남성,20,주택_건축,10
2025-08,부산광역시,남성,20,체육,8
2025-08,부산광역시,남성,20,해양수산,2
2025-08,부산광역시,남성,20,행정_안전,64
2025-08,부산광역시,남성,20,환경,13
2025-08,부산광역시,남성,30,경찰_검찰_법원,166
2025-08,부산광역시,남성,30,과학기술,21
2025-08,부산광역시,남성,30,관광,19
